Vin;Appréciation moyenne;Etoiles
RR018;2,375;1
RR048;2,5;1
RR020;2,666666667;1
RR006;2,75;1
RR028;3,0625;1
RR024;3,25;2
Vidoc;3,428571429;2
RR009;3,5;2
RR042;3,583333333;2
RR030;3,75;2
RR026;3,857142857;3
RR015;4,125;3
RR016;4,125;3
RR038;4,285714286;3
Grenache;4,428571429;4
RR045;4,5;4
Syrah;4,8;4
RR023;4,857142857;4
RR005;4,875;4
RR013;5,5;5
RR022;5,571428571;5
RR012;5,666666667;5
RR003;6,25;5
