Vin;Appréciation moyenne;Etoiles
RR028;3,67;1
RR016;4,00;1
RR013;4,00;1
RR005;4,17;2
RR037;4,27;2
Grenache;4,44;2
RR048;4,44;2
RR026;4,50;3
RR030;4,58;3
RR034;4,67;3
RR003;4,73;3
Syrah;4,87;4
RR008;5,00;4
RR024;5,08;4
RR042;5,13;4
RR022;5,42;5
Vidoc;5,56;5
RR002;5,94;5
