ID_geno;ID_modacourt;ID_IFVlong;ID_IFVcourt;Annee_croisement;Annee_plantation;mere;mere_clone;pere;pere_clone;parent_vinifera;pg;pg_clone;Rpv1;Rpv3_1;Rpv10;Run1;Ren3;couleur
RR001;ResRhod;P513-B08-IR-2016;P513-B08;2016;2019;Grenache;70;Col48#29;;Grenache;140RU;101;oui;;oui;oui;oui;N
RR002;ResRhod;P506-E03-IR-2016;P506-E03;2016;2019;Grenache;70;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR003;ResRhod;P505-A06-IR-2016;P505-A06;2016;2019;Grenache;70;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR004;ResRhod;P505-D03-IR-2016 ;P505-D03;2016;2019;Grenache;70;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR005;ResRhod;P506-D10-IR-2016;P506-D10;2016;2019;Grenache;70;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR006;ResRhod;P507-E07-IR-2016;P507-E07;2016;2019;Grenache;70;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR007;ResRhod;P511-F04-IR-2016;P511-F04;2016;2019;Grenache;70;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR008;ResRhod;P511-F10-IR-2016;P511-F10;2016;2019;Grenache;70;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR009;ResRhod;P512-C01-IR-2016 ;P512-C01;2016;2019;Grenache;70;D03-PL2;;Grenache;140RU;101;oui;oui;;oui;oui;N
RR010;ResRhod;P489-D07-IR-2016;P489-D07;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR011;ResRhod;P490-A03-IR-2016 ;P490-A03;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR012;ResRhod;P490-C05-IR-2016 ;P490-C05;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR013;ResRhod;P471-C10-IR-2016;P471-C10;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR014;ResRhod;P473-E03-IR-2016 ;P473-E03;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR015;ResRhod;P474-F01-IR-2016 ;P474-F01;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR016;ResRhod;P475-F07-IR-2016 ;P475-F07;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR017;ResRhod;P476-B07-IR-2016 ;P476-B07;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR018;ResRhod;P476-E07-IR-2016 ;P476-E07;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR019;ResRhod;P471-A05-IR-2016 ;P471-A05;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR020;ResRhod;P477-D04-IR-2016;P477-D04;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR021;ResRhod;P472-C04-IR-2016;P472-C04;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR022;ResRhod;P472-E01-IR-2016;P472-E01;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR023;ResRhod;P472-E09-IR-2016;P472-E09;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR024;ResRhod;P478-C06-IR-2016 ;P478-C06;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR025;ResRhod;P472-F02-IR-2016;P472-F02;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR026;ResRhod;P479-C10-IR-2016;P479-C10;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR027;ResRhod;P484-F01-IR-2016;P484-F01;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR028;ResRhod;P480-E08-IR-2016;P480-E08;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
RR029;ResRhod;P486-B01-IR-2016;P486-B01;2016;2019;Syrah;747 ou 525;D03-PL2;;Syrah;140RU;101;oui;oui;;oui;oui;N
