ID_placette;Coulure;Millerandage
Coliris_01;;
Coliris_02;;
Coliris_03;8;9
Coliris_04;;
Coliris_05;;
Floreal_01;7;9
Floreal_02;8;9
Floreal_03;8;9
Floreal_04;8;9
Floreal_05;9;9
Floreal_06;6;8
Floreal_07;9;9
Floreal_08;7;9
Floreal_09;7;9
Floreal_10;8;9
Floreal_11;7;9
Floreal_12;7;9
Floreal_13;8;9
Floreal_14;8;9
Floreal_15;8;9
Grenache_01;;
Grenache_02;;
Grenache_03;;
Grenache_04;;
Grenache_05;;
Grenache_06;;
Grenache_07;;
Grenache_08;9;9
Grenache_09;;
Grenache_10;;
Grenache_11;7;9
Grenache_12;;
Grenache_13;;
Grenache_14;;
Grenache_15;;
Grenache_16;;
Grenache_17;;
Grenache_18;;
Grenache_19;8;9
Grenache_20;;
Grenache_21;;
Grenache_22;8;9
Grenache_23;;
Grenache_Tete;;
Lilaro_01;;
Lilaro_02;;
Lilaro_03;8;9
Lilaro_04;;
Lilaro_05;;
Lilaro_06;;
Muscaris_01;7;9
Muscaris_02;7;9
Muscaris_03;7;9
Muscaris_04;7;9
Muscaris_05;7;9
Muscaris_06;7;9
Muscaris_07;7;9
MuscatPG_01;;
MuscatPG_02;9;9
MuscatPG_03;;
MuscatPG_04;;
MuscatPG_05;9;9
MuscatPG_06;;
MuscatPG_07;;
MuscatPG_08;;
MuscatPG_09;;
MuscatPG_10;;
Opalor_01;;
Opalor_02;;
Opalor_03;9;9
Opalor_04;;
Opalor_05;;
Opalor_06;;
RH01;6;7
RH02;7;9
RH03;7;9
RH04;8;9
RH05;7;9
RM01;;
RM02;6;9
RM03;8;9
RM04;7;9
RM05;;
RM06;6;9
RM08;8;9
RM09;;
RM10;8;9
RM11;9;9
RM12;;
RM13;9;9
RM14;9;9
RM15;;
RM16;6;9
RM17;7;9
RM18;6;9
RM19;8;9
RM20;8;9
RM21;;
RM22;;
RM23;7;9
RM24;;
RM25;9;9
RM26;;
RM27;;
RM28;;
RM29;4;9
RM30;7;9
RM31;;
RM32;7;9
RM33;7;9
RM34;6;9
RM35;;
RM36;6;9
RM37;5;9
RM38;;
RM39;7;9
RM40;;
RM41;7;7
RM42;7;9
RM43;6;9
RM44;;
RR001;;
RR002;7;8
RR003;9;9
RR004;;
RR005;;
RR006;9;9
RR007;;
RR008;;
RR009;6;9
RR010;;
RR011;;
RR012;;
RR013;9;9
RR014;;
RR015;;
RR016;9;8
RR017;;
RR018;;
RR019;;
RR020;9;9
RR021;;
RR022;;
RR023;;
RR024;;
RR025;;
RR026;;
RR027;;
RR028;;
RR029;;
RR030;9;9
RR031;;
RR032;;
RR033;;
RR034;;
RR035;;
RR036;;
RR037;9;9
RR038;8;9
RR039;8;9
RR040;;
RR041;;
RR042;9;8
RR043;;
RR044;;
RR045;9;9
RR046;;
RR047;;
RR048;;
RR049;;
RR050;9;9
RR051;9;9
RR052;8;9
RR053;9;9
RR054;;
RR055;;
RR056;8;7
RR057;7;9
RR058;8;9
RR059;8;9
RR060;7;9
RR061;9;9
RR062;9;9
RR063;;
RR064;9;7
RR065;8;9
RR066;9;9
RR067;8;9
RR068;8;9
RR069;;
RR070;9;9
RR071;9;9
RR072;9;9
RR073;;
RR074;7;9
RR075;7;9
RR076;;
RR077;7;9
RR078;;
RR079;9;9
RR080;9;9
RR081;8;9
RR082;8;9
RR083;9;9
RR084;9;9
RR085;8;9
RR086;9;9
RR087;9;9
RR088;;
RR089;8;9
RR090;9;9
RR091;9;9
RR092;9;9
RR093;9;9
RR094;8;9
RR095;8;9
RR096;9;9
RR097;9;9
RR098;9;9
RR099;;
RR100;9;9
RR101;8;9
RR102;6;9
RR103;7;9
RR104;9;9
RR105;7;9
RR106;7;9
RR107;8;9
RR108;7;9
RR109;8;9
RR110;8;9
RR111;;
RR112;9;9
RR113;9;9
RR114;;
RR115;8;9
RR116;9;9
RR117;9;9
RR118;7;9
RR119;9;9
RR120;9;9
RR121;;
RR122;9;9
RR123;8;9
RR124;3;7
RR125;7;9
RR126;;
RR127;;
RR128;9;9
RR129;8;9
RR130;9;9
RR131;;
RR132;9;9
RR133;9;9
RR134;9;9
RR135;9;9
RR136;7;9
RR137;;
RR138;8;9
RR139;9;9
RR140;7;9
RR141;9;9
RR142;7;9
RR143;9;9
RR144;8;9
RR145;6;9
RR146;7;9
RR147;8;9
RR148;8;9
RR149;9;9
RR150;;
RR151;;
RR152;6;9
RR153;9;9
RR154;7;9
RR155;;
RR156;7;9
RR157;7;9
RR158;7;9
RR159;9;9
RR160;7;9
RR161;8;9
RR162;7;9
RR163;9;9
RR164;7;9
RR165;9;9
RR166;9;9
