ID_placette;Coulure;Millerandage
RR167;6;9
RR168;;
RR169;6;9
RR170;8;9
RR171;8;9
Selenor_01;;
Selenor_02;;
Selenor_03;9;9
Selenor_04;;
Selenor_05;;
Sirano_01;;
Sirano_02;;
Sirano_03;8;9
Sirano_04;;
Sirano_05;;
Sirano_06;;
Syrah_01;;
Syrah_02;;
Syrah_03;;
Syrah_04;;
Syrah_05;;
Syrah_06;;
Syrah_07;;
Syrah_08;9;9
Syrah_09;;
Syrah_10;;
Syrah_11;9;9
Syrah_12;;
Syrah_13;;
Syrah_14;;
Syrah_15;;
Syrah_16;;
Syrah_17;9;9
Syrah_18;;
Syrah_19;;
Syrah_20;9;9
Syrah_21;;
Syrah_22;;
Syrah_23;;
Syrah_24;;
Vidoc_01;9;9
Vidoc_02;9;8
Vidoc_03;9;9
Vidoc_04;9;9
Vidoc_05;9;9
Vidoc_06;9;9
Vidoc_07;8;9
Vidoc_08;8;9
Vidoc_09;9;9
Vidoc_10;9;9
Vidoc_11;9;9
Vidoc_12;8;9
Vidoc_13;;
;;
