"ID_geno";"ID_modacourt";"Annee_plantation";"NoteGlobaleVITI_CR_2021";"NoteGlobaleVITI_CR_2022";"NoteGlobaleVITI_CR_2023";"NoteGlobaleVITI_2021_QT";"NoteGlobaleVITI_2022_QT";"NoteGlobaleVITI_2023_QT"
"RR118";"ResRhod";2021;NA;NA;-0,910846064964905;NA;NA;"1"
"RR119";"ResRhod";2021;NA;NA;-0,0686543755729874;NA;NA;"3"
"RR120";"ResRhod";2021;NA;NA;-0,742407727086521;NA;NA;"2"
"RR121";"ResRhod";2021;NA;NA;-1,92147609223521;NA;NA;"1"
"RR122";"ResRhod";2021;NA;NA;1,95260567896761;NA;NA;"5"
"RR123";"ResRhod";2021;NA;NA;1,44729066533246;NA;NA;"5"
"RR124";"ResRhod";2021;NA;NA;-0,0686543755729874;NA;NA;"3"
"RR125";"ResRhod";2021;NA;NA;0,26822230018378;NA;NA;"4"
"RR126";"ResRhod";2021;NA;NA;-1,07928440284329;NA;NA;"1"
"RR127";"ResRhod";2021;NA;NA;-2,08991443011359;NA;NA;"1"
"RR128";"ResRhod";2021;NA;NA;0,77353731381893;NA;NA;"4"
"RR129";"ResRhod";2021;NA;NA;-0,0686543755729874;NA;NA;"3"
"RR130";"ResRhod";2021;NA;NA;-0,405531051329754;NA;NA;"2"
"RR131";"ResRhod";2021;NA;NA;-2,08991443011359;NA;NA;"1"
"RR132";"ResRhod";2021;NA;NA;-0,0686543755729874;NA;NA;"3"
"RR133";"ResRhod";2021;NA;NA;0,26822230018378;NA;NA;"4"
"RR134";"ResRhod";2021;NA;NA;0,77353731381893;NA;NA;"4"
"RR135";"ResRhod";2021;NA;NA;0,77353731381893;NA;NA;"4"
"RR136";"ResRhod";2021;NA;NA;-0,0686543755729874;NA;NA;"3"
"RR137";"ResRhod";2021;NA;NA;-1,58459941647844;NA;NA;"1"
"RR138";"ResRhod";2021;NA;NA;0,436660638062163;NA;NA;"4"
"RR139";"ResRhod";2021;NA;NA;-0,237092713451371;NA;NA;"2"
"RR140";"ResRhod";2021;NA;NA;1,1104139895757;NA;NA;"5"
"RR141";"ResRhod";2021;NA;NA;0,0997839623053961;NA;NA;"3"
"RR142";"ResRhod";2021;NA;NA;1,1104139895757;NA;NA;"5"
"RR143";"ResRhod";2021;NA;NA;-0,573969389208138;NA;NA;"2"
"RR144";"ResRhod";2021;NA;NA;-1,41616107860006;NA;NA;"1"
"RR145";"ResRhod";2021;NA;NA;0,605098975940547;NA;NA;"4"
"RR146";"ResRhod";2021;NA;NA;0,941975651697313;NA;NA;"5"
"RR147";"ResRhod";2021;NA;NA;0,605098975940547;NA;NA;"4"
"RR148";"ResRhod";2021;NA;NA;0,0997839623053961;NA;NA;"3"
"RR149";"ResRhod";2021;NA;NA;-0,237092713451371;NA;NA;"2"
"RR150";"ResRhod";2021;NA;NA;0,0997839623053961;NA;NA;"3"
"RR151";"ResRhod";2021;NA;NA;-0,910846064964905;NA;NA;"1"
"RR152";"ResRhod";2021;NA;NA;-0,0686543755729874;NA;NA;"3"
"RR153";"ResRhod";2021;NA;NA;-0,237092713451371;NA;NA;"2"
"RR154";"ResRhod";2021;NA;NA;-1,75303775435682;NA;NA;"1"
"RR155";"ResRhod";2021;NA;NA;-2,08991443011359;NA;NA;"1"
"Vidoc";"Vidoc";2019;NA;NA;0,605098975940547;NA;NA;"4"
"Vidoc";"Vidoc";2021;NA;NA;0,455376008937539;NA;NA;"4"
